"source_id","title","scope","source_type","official_page_url","collection_url","source_format","publisher","language","license_id","license_url","license_review_status","collection_method","collection_decision","official_verified","priority","product_models","use_cases","tasks","categories","notes"
"rpi-doc-hardware-introduction","Raspberry Pi computer hardware introduction","corpus","documentation","https://www.raspberrypi.com/documentation/computers/raspberry-pi.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/raspberry-pi/introduction.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","education_coding;desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","desktop_programming;system_configuration","hardware;product_comparison","공식 documentation 저장소 파일을 commit SHA로 고정하고 출처·변경 사항을 표시한다."
"rpi-doc-getting-started-install","Getting started - install an operating system","corpus","documentation","https://www.raspberrypi.com/documentation/computers/getting-started.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/getting-started/install.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","education_coding;desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","os_installation","getting_started;os_installation","Raspberry Pi Imager와 OS 설치 절차의 우선 corpus다."
"rpi-doc-os-introduction","Raspberry Pi OS introduction","corpus","documentation","https://www.raspberrypi.com/documentation/computers/os.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/os/rpi-os-introduction.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","education_coding;desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","os_installation;system_configuration","operating_system","공식 documentation 저장소의 OS 소개 원문을 사용한다."
"rpi-doc-networking","Configure networking","corpus","documentation","https://www.raspberrypi.com/documentation/computers/configuration.html#networking","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/configuration/configuring-networking.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management","system_configuration;remote_access;server_operation","networking;wifi","명령어와 설정 키를 원문 표기로 보존한다."
"rpi-doc-remote-access-ssh","Remote access with SSH","corpus","documentation","https://www.raspberrypi.com/documentation/computers/remote-access.html#ssh","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/remote-access/ssh.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management","remote_access;server_operation;troubleshooting","remote_access;ssh","SSH 명령어와 보안 경고의 문맥을 유지한다."
"rpi-doc-camera-install","Install a Raspberry Pi camera","corpus","documentation","https://www.raspberrypi.com/documentation/accessories/camera.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/accessories/camera/install.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","camera_monitoring;smart_farm_monitoring","camera_setup;troubleshooting","camera;hardware_setup","하드웨어 안전 경고와 케이블·커넥터 문맥을 보존한다."
"rpi-doc-camera-rpicam-apps","rpicam-apps introduction","corpus","documentation","https://www.raspberrypi.com/documentation/computers/camera_software.html#rpicam-apps","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/camera/rpicam_apps_intro.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","camera_monitoring;smart_farm_monitoring","camera_setup;troubleshooting","camera;camera_software","명령어 옵션을 번역하거나 임의 수정하지 않는다."
"rpi-doc-gpio-header","GPIO and the 40-pin header","corpus","documentation","https://www.raspberrypi.com/documentation/computers/raspberry-pi.html#gpio-and-the-40-pin-header","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/raspberry-pi/gpio-on-raspberry-pi.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","smart_farm_monitoring;gpio_iot","gpio_setup;sensor_monitoring;troubleshooting","gpio;hardware_safety","핀 번호와 전기 안전 경고의 문맥을 보존한다."
"rpi-doc-led-warning-codes","LED warning flash codes","corpus","documentation","https://www.raspberrypi.com/documentation/computers/configuration.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/configuration/led_blink_warnings.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","","education_coding;desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","troubleshooting","troubleshooting;led_warning","경고 패턴 표를 행 단위 문맥이 유지되도록 처리한다."
"rpi-doc-power-supplies","Raspberry Pi power supply requirements","corpus","documentation","https://www.raspberrypi.com/documentation/computers/raspberry-pi.html","https://raw.githubusercontent.com/raspberrypi/documentation/master/documentation/asciidoc/computers/raspberry-pi/power-supplies.adoc","asciidoc","Raspberry Pi Ltd","en","CC-BY-SA-4.0","https://www.raspberrypi.com/licensing/","approved","git_raw","include","true","1","Raspberry Pi 5;Raspberry Pi 4 Model B;Raspberry Pi 500;Raspberry Pi 400;Raspberry Pi Zero 2 W","education_coding;desktop_computing;home_server;camera_monitoring;smart_farm_monitoring;headless_remote_management;gpio_iot","system_configuration","power;accessories","모델별 권장 전원 공급 장치, USB 전력 제한, PoE HAT 호환 조건의 공식 근거다."
